"anio";"residencial";"comercial";"industrial_comercial_grande";"unidad_medida"
"2005";"31532";"26781";"34075";"GWh"
"2006";"33373";"28415";"35805";"GWh"
"2007";"37339";"30050";"35571";"GWh"
"2008";"39114";"31387";"35434";"GWh"
"2009";"40122";"32361";"32122";"GWh"
"2010";"42881";"33755";"34139";"GWh"
"2011";"44879";"35655";"35973";"GWh"
"2012";"47722";"37696";"35774";"GWh"
"2013";"50381";"36453";"38386";"GWh"
"2014";"51444";"35995";"39028";"GWh"
"2015";"55424";"37351";"39334";"GWh"
"2016";"57067";"38541";"37503";"GWh"
"2017";"55907";"38367";"38256";"GWh"
"2018";"57017";"38229";"37764";"GWh"
"2019";"55531";"37026";"36390";"GWh"
"2020";"60021";"35074";"32212";"GWh"
"2021";"60785";"36640";"36451";"GWh"
"2022";"63157";"38520";"37098";"GWh"
"2023";"65303";"38907";"36674";"GWh"
